"id";"generation_number";"average_fitness";"crossover_probability";"mutation_probability"
"1";"0";"105.0000";"0.7816";"0.2184"
"2";"1";"63.8000";"0.7816";"0.2184"
"3";"2";"52.4000";"0.7816";"0.2184"
"4";"3";"110.1000";"0.7816";"0.2184"
"5";"4";"126.5000";"0.7816";"0.2184"
"6";"5";"177.0000";"0.7816";"0.2184"
"7";"6";"104.3000";"0.7816";"0.2184"
"8";"7";"103.2000";"0.7816";"0.2184"
"9";"8";"58.6000";"0.7816";"0.2184"
"10";"9";"403.9000";"0.7816";"0.2184"
"11";"10";"326.7000";"0.7816";"0.2184"
"12";"11";"237.8000";"0.7816";"0.2184"
"13";"12";"134.9000";"0.7816";"0.2184"
"14";"13";"549.7000";"0.7816";"0.2184"
"15";"14";"448.3000";"0.7816";"0.2184"
"16";"15";"548.6000";"0.7816";"0.2184"
"17";"16";"612.4000";"0.7816";"0.2184"
"18";"17";"1175.6000";"0.7816";"0.2184"
"19";"18";"1142.7000";"0.7816";"0.2184"
"20";"19";"631.4000";"0.7816";"0.2184"
"21";"20";"772.8000";"0.7816";"0.2184"
"22";"21";"782.6000";"0.7816";"0.2184"
"23";"22";"746.2000";"0.7816";"0.2184"
"24";"23";"1261.2000";"0.7816";"0.2184"
"25";"24";"940.5000";"0.7816";"0.2184"
"26";"25";"665.7000";"0.7816";"0.2184"
"27";"26";"1401.3000";"0.7816";"0.2184"
"28";"27";"977.6000";"0.7816";"0.2184"
"29";"28";"870.4000";"0.7816";"0.2184"
"30";"29";"1397.4000";"0.7816";"0.2184"
"31";"30";"1346.1000";"0.7816";"0.2184"
"32";"31";"1751.6000";"0.7816";"0.2184"
"33";"32";"966.1000";"0.7816";"0.2184"
"34";"33";"1121.6000";"0.7816";"0.2184"
"35";"34";"1121.4000";"0.7816";"0.2184"
"36";"35";"1465.6000";"0.7816";"0.2184"
"37";"36";"1206.1000";"0.7816";"0.2184"
"38";"37";"617.3000";"0.7816";"0.2184"
"39";"38";"1021.0000";"0.7816";"0.2184"
"40";"39";"1025.5000";"0.7816";"0.2184"
"41";"40";"1574.6000";"0.7816";"0.2184"
"42";"41";"989.8000";"0.7816";"0.2184"
"43";"42";"1362.7000";"0.7816";"0.2184"
"44";"43";"1202.7000";"0.7816";"0.2184"
"45";"44";"1324.4000";"0.7816";"0.2184"
"46";"45";"1277.6000";"0.7816";"0.2184"
"47";"46";"1099.0000";"0.7816";"0.2184"
"48";"47";"906.9000";"0.7816";"0.2184"
"49";"48";"1065.0000";"0.7816";"0.2184"
"50";"49";"1014.4000";"0.7816";"0.2184"
"51";"50";"1626.9000";"0.7816";"0.2184"
"52";"51";"1672.1000";"0.7816";"0.2184"
"53";"52";"1444.0000";"0.7816";"0.2184"
"54";"53";"1732.9000";"0.7816";"0.2184"
"55";"54";"1129.8000";"0.7816";"0.2184"
"56";"55";"1629.9000";"0.7816";"0.2184"
"57";"56";"1767.2000";"0.7816";"0.2184"
"58";"57";"1351.5000";"0.7816";"0.2184"
"59";"58";"608.2000";"0.7816";"0.2184"
"60";"59";"1180.6000";"0.7816";"0.2184"
"61";"60";"734.0000";"0.7816";"0.2184"
"62";"61";"1310.5000";"0.7816";"0.2184"
"63";"62";"1305.7000";"0.7816";"0.2184"
"64";"63";"1261.9000";"0.7816";"0.2184"
"65";"64";"695.5000";"0.7816";"0.2184"
"66";"65";"1350.4000";"0.7816";"0.2184"
"67";"66";"1579.3000";"0.7816";"0.2184"
"68";"67";"1379.3000";"0.7816";"0.2184"
"69";"68";"1414.9000";"0.7816";"0.2184"
"70";"69";"1759.9000";"0.7816";"0.2184"
"71";"70";"1154.0000";"0.7816";"0.2184"
"72";"71";"1187.0000";"0.7816";"0.2184"
"73";"72";"2037.6000";"0.7816";"0.2184"
"74";"73";"1613.6000";"0.7816";"0.2184"
"75";"74";"1418.2000";"0.7816";"0.2184"
"76";"75";"1230.6000";"0.7816";"0.2184"
"77";"76";"1666.8000";"0.7816";"0.2184"
"78";"77";"1701.3000";"0.7816";"0.2184"
"79";"78";"1154.2000";"0.7816";"0.2184"
"80";"79";"1428.6000";"0.7816";"0.2184"
"81";"80";"1060.6000";"0.7816";"0.2184"
"82";"81";"1130.3000";"0.7816";"0.2184"
"83";"82";"1231.4000";"0.7816";"0.2184"
"84";"83";"829.9000";"0.7816";"0.2184"
"85";"84";"1002.0000";"0.7816";"0.2184"
"86";"85";"904.5000";"0.7816";"0.2184"
"87";"86";"965.4000";"0.7816";"0.2184"
"88";"87";"1097.6000";"0.7816";"0.2184"
"89";"88";"844.4000";"0.7816";"0.2184"
"90";"89";"1643.9000";"0.7816";"0.2184"
"91";"90";"1080.2000";"0.7816";"0.2184"
"92";"91";"1829.0000";"0.7816";"0.2184"
"93";"92";"1198.9000";"0.7816";"0.2184"
"94";"93";"941.2000";"0.7816";"0.2184"
"95";"94";"843.2000";"0.7816";"0.2184"
"96";"95";"1177.2000";"0.7816";"0.2184"
"97";"96";"1225.8000";"0.7816";"0.2184"
"98";"97";"794.0000";"0.7816";"0.2184"
"99";"98";"1036.1000";"0.7816";"0.2184"
"100";"99";"818.3000";"0.7816";"0.2184"
