"id","generation_number","fitness","crossover_probability","mutation_probability","genes"
"1","9","598.0000","0.0010","0.0010","0.34750385815277696,-0.4905540575273335,-0.7293334440328181,-0.33513477770611644,0.9307038793340325,-0.7324816389009356,-0.2130728210322559,0.07833755621686578,-0.4141492089256644,0.43018933571875095,0.5106694521382451,0.01789457257837057,0.25101388478651643,-0.4820314827375114,0.548699296079576,-0.9409888605587184,0.5284059578552842,0.6530087497085333,-0.6194507302716374,0.7701983777806163,0.7066199169494212,0.9561729691922665,0.35727620869874954,0.9512532879598439,0.1997849466279149,-0.9304718510247767,0.1225033258087933,0.7202213974669576,0.6018118774518371,0.25885581225156784,0.8568194173276424,0.6709184781648219,-0.07333312695845962,0.8231977233663201,0.05056891730055213,-0.14230549847707152,0.2269969815388322,0.04693313827738166,-0.38984264619648457,-0.15746129304170609,0.8138947607949376"
"2","19","692.0000","0.0010","0.0010","0.33716470934450626,0.8636988690122962,-0.25471124425530434,-0.059809611178934574,-0.8151857238262892,0.9825138160958886,-0.12001498509198427,0.1273319972679019,0.9151280815713108,0.2990370220504701,0.39031382091343403,-0.8812996968626976,-0.19921319372951984,0.6513195657171309,0.3677311949431896,-0.9758372353389859,0.8078066953457892,0.04735536267980933,0.13688180362805724,0.8084708568640053,-0.6770228291861713,-0.44362965831533074,-0.9345346638001502,-0.9210533844307065,0.11934742145240307,-0.9936785395257175,-0.2306601209565997,-0.45423409016802907,-0.12625854974612594,-0.45168406050652266,-0.4183069868013263,-0.302992912940681,0.0810679025016725,0.30671550100669265,0.1273624305613339,-0.26880699303001165,0.519817320164293,0.9778367965482175,-0.043669307604432106,-0.3122974564321339,0.8482932718470693"
"3","29","59.0000","0.0010","0.0010","-0.4158675754442811,-0.3524590381421149,-0.5621957196854055,-0.06018910091370344,-0.6168397711589932,-0.028619600925594568,-0.4425270017236471,-0.21197727415710688,0.28274761186912656,0.5710420715622604,-0.11133049940690398,-0.8701439704746008,0.5052331117913127,0.11519561242312193,0.5881060473620892,-0.8512661294080317,-0.39460552064701915,-0.2373994984664023,-0.2243876801803708,-0.4832617840729654,-0.30800210731104016,-0.7853562766686082,0.2927903919480741,0.43490338139235973,-0.8567062704823911,-0.5350395329296589,-0.4519508150406182,0.17004935629665852,0.22649464756250381,-0.043025384191423655,0.16466478491201997,0.10332151502370834,-0.5713222837075591,-0.11214219685643911,0.4036810277029872,0.27795435115695,0.49496579682454467,0.17156406538560987,0.5604721861891448,-0.5308786667883396,0.7592515125870705"
"4","39","440.0000","0.0010","0.0010","0.8343760762363672,-0.21622478868812323,-0.874270411208272,-0.24880120111629367,0.7545677968300879,-0.8450577319599688,0.29662401881068945,0.5424561998806894,-0.3445864054374397,-0.14310736116021872,0.17562680784612894,-0.6138117578811944,-0.6163012799806893,0.5999325634911656,0.7062229504808784,-0.34069728618487716,-0.4397168136201799,0.11985002504661679,0.20237236004322767,-0.7381106126122177,0.9767521261237562,0.8331404840573668,-0.4211315424181521,0.5210994081571698,0.9624299816787243,0.6233777347952127,0.02571836207062006,-0.12326888972893357,0.19223397225141525,0.8914691847749054,0.000784293282777071,-0.20428750896826386,-0.9270264166407287,-0.4182964200153947,0.44913099333643913,-0.21534755639731884,-0.11275345599278808,-0.8806412424892187,-0.6288997265510261,-0.6676717614755034,-0.8100519655272365"
"5","49","2365.0000","0.0010","0.0010","0.542075184173882,-0.7448428464122117,-0.5869149686768651,-0.14304582588374615,0.9445103746838868,0.9596321852877736,-0.23506534425541759,0.39491692557930946,-0.8254033047705889,0.715678168926388,0.1327283550053835,0.8759329663589597,-0.9738221634179354,0.3118464360013604,0.9121390422806144,-0.2990060457959771,-0.7749215406365693,-0.7102666087448597,-0.72104298369959,-0.9950708015821874,0.440834223292768,-0.19566682958975434,0.17356323916465044,0.7544588879682124,-0.6791787282563746,-0.7969808545894921,0.7014455473981798,-0.8867582883685827,-0.07081245258450508,0.673675247002393,-0.8406780180521309,0.2965984856709838,0.5918689747340977,-0.6765468898229301,-0.8846051613800228,-0.30435079289600253,0.5781648247502744,-0.20370782678946853,-0.8677911553531885,-0.02401254279538989,0.3893036828376353"
"6","59","950.0000","0.0010","0.0010","0.33716470934450626,0.8636988690122962,-0.25471124425530434,-0.059809611178934574,-0.8151857238262892,0.9825138160958886,-0.12001498509198427,0.1273319972679019,0.9151280815713108,0.2990370220504701,0.39031382091343403,-0.8812996968626976,-0.19921319372951984,0.6513195657171309,0.3677311949431896,-0.9758372353389859,0.8078066953457892,0.04735536267980933,0.13688180362805724,0.8084708568640053,-0.6770228291861713,-0.44362965831533074,-0.9345346638001502,-0.9210533844307065,0.11934742145240307,-0.9936785395257175,-0.2306601209565997,-0.45423409016802907,-0.12625854974612594,-0.45168406050652266,-0.4183069868013263,-0.302992912940681,0.0810679025016725,0.30671550100669265,0.1273624305613339,-0.26880699303001165,0.519817320164293,0.9778367965482175,-0.043669307604432106,-0.3122974564321339,0.8482932718470693"
"7","69","2019.0000","0.0010","0.0010","0.34750385815277696,-0.4905540575273335,-0.7293334440328181,-0.33513477770611644,0.9307038793340325,-0.7324816389009356,-0.2130728210322559,0.07833755621686578,-0.4141492089256644,0.43018933571875095,0.5106694521382451,0.01789457257837057,0.25101388478651643,-0.4820314827375114,0.548699296079576,-0.9409888605587184,0.5284059578552842,0.6530087497085333,-0.6194507302716374,0.7701983777806163,0.7066199169494212,0.9561729691922665,0.35727620869874954,0.9512532879598439,0.1997849466279149,-0.9304718510247767,0.1225033258087933,0.7202213974669576,0.6018118774518371,0.25885581225156784,0.8568194173276424,0.6709184781648219,-0.07333312695845962,0.8231977233663201,0.05056891730055213,-0.14230549847707152,0.2269969815388322,0.04693313827738166,-0.38984264619648457,-0.15746129304170609,0.8138947607949376"
"8","79","234.0000","0.0010","0.0010","0.542075184173882,-0.7448428464122117,-0.5869149686768651,-0.14304582588374615,0.9445103746838868,0.9596321852877736,-0.23506534425541759,0.39491692557930946,-0.8254033047705889,0.715678168926388,0.1327283550053835,0.8759329663589597,-0.9738221634179354,0.3118464360013604,0.9121390422806144,-0.2990060457959771,-0.7749215406365693,-0.7102666087448597,-0.72104298369959,-0.9950708015821874,0.440834223292768,-0.19566682958975434,0.17356323916465044,0.7544588879682124,-0.6791787282563746,-0.7969808545894921,0.7014455473981798,-0.8867582883685827,-0.07081245258450508,0.673675247002393,-0.8406780180521309,0.2965984856709838,0.5918689747340977,-0.6765468898229301,-0.8846051613800228,-0.30435079289600253,0.5781648247502744,-0.20370782678946853,-0.8677911553531885,-0.02401254279538989,0.3893036828376353"
"9","89","334.0000","0.0010","0.0010","0.7245173016563058,0.14392428286373615,0.9291628431528807,0.9609804451465607,0.5276697557419538,0.35739920288324356,0.923000440467149,-0.879033385310322,-0.9241755628027022,-0.3269577156752348,-0.23159630876034498,0.02635168470442295,0.9307209150865674,0.5318159139715135,0.9343118448741734,0.6145467003807425,-0.44520259322598577,0.3366839336231351,0.008962208405137062,0.6723510953597724,-0.9367895121686161,-0.6211458379402757,0.5410100650042295,0.9112407052889466,0.6172044849954545,0.20311950147151947,0.6446720412932336,-0.3902993444353342,0.9473861888982356,-0.5510871587321162,-0.7139826552011073,-0.8792824340052903,-0.8175955852493644,0.14227747404947877,-0.5896246773190796,0.6130997748114169,0.6415946180932224,0.7045692270621657,0.1156220412813127,0.45068275975063443,-0.3235336737707257"
"10","99","217.0000","0.0010","0.0010","0.34750385815277696,-0.4905540575273335,-0.7293334440328181,-0.33513477770611644,0.9307038793340325,-0.7324816389009356,-0.2130728210322559,0.07833755621686578,-0.4141492089256644,0.43018933571875095,0.5106694521382451,0.01789457257837057,0.25101388478651643,-0.4820314827375114,0.548699296079576,-0.9409888605587184,0.5284059578552842,0.6530087497085333,-0.6194507302716374,0.7701983777806163,0.7066199169494212,0.9561729691922665,0.35727620869874954,0.9512532879598439,0.1997849466279149,-0.9304718510247767,0.1225033258087933,0.7202213974669576,0.6018118774518371,0.25885581225156784,0.8568194173276424,0.6709184781648219,-0.07333312695845962,0.8231977233663201,0.05056891730055213,-0.14230549847707152,0.2269969815388322,0.04693313827738166,-0.38984264619648457,-0.15746129304170609,0.8138947607949376"
